risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date
Institutional Coordination Challenges Affecting Project Implementation,"The project's interministerial coordination structure has not adequately responded to the combined needs of two ministries and multiple executing agencies, resulting in non-implementation of activities previously identified as crucial. This coordination weakness is impacting overall project execution efficiency.",high,persistent,La coordination telle que structurée n'a pas pu répondre aux besoins combinés des deux ministères et multiples agences d'exécutions démontré par la non mise en œuvre d'activités qui avaient été considérées comme étant cruciales au cours des missions précédentes d'appui à la mise en œuvre.,779b9113,P168613,Aide Memoire,2025-01-15T09:10:03.000Z
Slow Procurement Processes Delaying Critical Project Activities,"Despite improvements, procurement processes remain slow, with key technical assistance markets and geoscience works still in procurement phases. This is directly impacting the project's low disbursement rate (23.83%) and delaying implementation of strategic activities.",high,persistent,"les processus de passation des marchés restent lents malgré un engagement des départements ministériels... plusieurs activités clé sont en retard et restent encore en phase de passation des marchés. Il s'agit notamment : (i) des travaux de géoscience (levés géochimique, géophysique et cartographie) ; (ii) la mise en place d'un système d'information géologique et minière ; (iii) la mise en place d'un réseau de surveillance séismique",b1371e26,P168613,Aide Memoire,2025-01-15T09:10:03.000Z
Capacity Constraints in Environmental and Social Safeguards Implementation,"Multiple environmental and social safeguard measures face implementation delays due to insufficient institutional capacity, including incomplete screening of infrastructure sites, unfinalized resettlement procedures, and gaps in environmental compliance monitoring systems.",high,persistent,"plusieurs mesures ne puissent être mises en œuvre, les activités y relatives n'étant pas encore entamées... plusieurs actions prioritaires doivent être menées pour opérationnaliser le système de gestion E&S avec (i) la formalisation du Conseil d'Administration de l'AGEE ; (ii) la formalisation des liens entre la commission nationale d'indemnisation et le Comité technique d'analyse et d'évaluation environnementale (CTAE)",66f33504,P168613,Aide Memoire,2025-01-15T09:10:03.000Z
Institutional Capacity Gaps in Protected Areas Management,"The OGPNRF faces significant operational challenges including lack of Board formalization, incomplete infrastructure, insufficient field presence, and gaps in sustainable financing mechanisms needed to operationalize protected areas management effectively.",high,persistent,plusieurs actions prioritaires doivent être menés pour opérationnaliser pleinement la gestion des AP avec (i) la mise en place du Conseil d'Administration de l'OGPNRF ; (ii) la construction du siège de l'OGPNRF ; (iii) les constructions sur le terrain pour les conservateurs de la nature dans les aires protégées,9e7a38cd,P168613,Aide Memoire,2025-01-15T09:10:03.000Z
Inadequate Financing Mechanisms for Environmental Management Agency Operations,"The AGEE lacks sustainable financing mechanisms to ensure frequency and independence of its monitoring missions, which are critical for environmental compliance in the context of the Simandou mining project development.",high,persistent,"la mise en place d'un mécanisme de financement durable de l'AGEE permettant d'assurer la fréquence et l'indépendance de ses missions, requises notamment dans le cadre du développement du projet minier de Simandou",a9cf7d09,P168613,Aide Memoire,2025-01-15T09:10:03.000Z
Resettlement and Compensation Framework Not Yet Operationalized,"The national resettlement and compensation referential for populations impacted by public and private projects has not been formally adopted, and procedures for implementing Resettlement Action Plans (PAR) remain unclear, creating risks for communities affected by mining and infrastructure projects.",high,persistent,"l'opérationnalisation des modalités d'élaboration, de validation et de mise en œuvre des Plans d'Action de Réinstallation (PAR) et la clarification des procédures d'évaluation environnementale des projets de catégorie C pour éviter les conflits d'intérêts",e6b8152c,P168613,Aide Memoire,2025-01-15T09:10:03.000Z
Governance Risks in Environmental Compliance Oversight,"Potential conflicts of interest exist in environmental evaluation procedures for Category C projects, and the relationship between the national compensation commission and the environmental evaluation committee requires formalization to ensure independent oversight.",medium,persistent,la clarification des procédures d'évaluation environnementale des projets de catégorie C pour éviter les conflits d'intérêts ; (et viii) le renforcement des capacités de prise en charge des impacts sociaux,fe0e48b2,P168613,Aide Memoire,2025-01-15T09:10:03.000Z
Insufficient Capacity for Social Impact Management,"Gaps exist in institutional capacity to address social impacts as required by regulatory frameworks, with needs assessments for human resources to effectively manage social impacts not yet completed.",medium,persistent,"le renforcement des capacités de prise en charge des impacts sociaux, l'évaluation des besoins en ressources humaines pour une prise en charge effective des impacts sociaux, tel que prévu par le cadre règlementaire (arrêté 1595)",be5ac5d1,P168613,Aide Memoire,2025-01-15T09:10:03.000Z
Delays in Protected Areas Network Reform Implementation,"The revision of Guinea's protected areas network, critical for biodiversity commitments and climate action, faces implementation delays with the Strategic Environmental and Social Assessment (ESES) and consultation processes not yet completed as scheduled.",medium,persistent,"la feuille de route pour la révision du réseau d'aires protégées doit être mise en œuvre avec (vi) la réalisation de l'ESES, de la révision du réseau d'AP d'ici juin 2025 ; et (vii) l'organisation de la série d'ateliers nationaux et locaux de consultations et de zonage du nouveau réseau d'AP",23597a32,P168613,Aide Memoire,2025-01-15T09:10:03.000Z
Institutional Capacity Constraints in Mining Revenue Collection,"Diagnostic work on opportunities and risks related to revenue collection from the Simandou mining project is ongoing, but institutional capacity to effectively collect and manage mining revenues remains uncertain, with coordination among customs, tax, and central bank authorities still being assessed.",medium,unclear,"le processus d'optimisation de la collecte des revenus du projet Simandou avec l'initiation du diagnostic relatifs aux opportunités et risques liés à cette collecte engagée avec des consultations initiales réalisées par des experts auprès des principales parties prenantes (douane, impôts, Banque centrale, BQQ, LNG et BSD)",8ca0a4be,P168613,Aide Memoire,2025-01-15T09:10:03.000Z
